Disease Name,Category,Symptoms,Severity,Causes
Sparganosis,Parasite,"fever, migratory lesions, eosinophilia, painful swelling",Medium,Spirometra species; contaminated water; raw frog/snake meat; copepod intermediate hosts
Reye's Syndrome,Disease,"seizures, confusion, coma, liver dysfunction, vomiting, brain swelling",High,aspirin use in viral infection; varicella virus; influenza virus; metabolic disorder
Sudden Infant Death Syndrome,Disease,"none apparent, no prior symptoms, unexpected death, autopsy findings, sleep-related",High,unknown; brain abnormalities; respiratory issues; overheating; prone sleeping
Pressure Ulcers,Disease,"pain, red skin, infection, skin breakdown, drainage, swelling",High,immobility; poor nutrition; moisture; friction; shear forces
Toxocariasis,Parasite,"cough, rash, hepatomegaly, fever, eosinophilia",Low,Toxocara species; ingestion of eggs; contaminated soil; pica
Salmonella Infection,Bacteria,"blood in stool, diarrhea, abdominal cramps, headache, fever, nausea",High,Salmonella bacteria; contaminated food; undercooked poultry; raw eggs
Neurocognitive Disorders,Disorder,"executive dysfunction, memory impairment, language problems, personality changes, cognitive decline, visuospatial difficulties",Medium,Alzheimer's disease; vascular disease; Lewy body disease; frontotemporal degeneration
Restless Legs Syndrome,Disorder,"uncomfortable sensations, urge to move legs, daytime fatigue, worse at rest",Medium,genetic factors; iron deficiency; pregnancy; chronic kidney disease; neuropathy
Vitamin D Deficiency,Disease,"hair loss, muscle weakness, fatigue, bone pain",Medium,inadequate sunlight exposure; poor dietary intake; malabsorption; kidney disease; obesity
Necrotizing Enterocolitis,Disease,"abdominal distension, feeding intolerance, bradycardia, lethargy, bloody stools, apnea",High,premature birth; formula feeding; intestinal immaturity; bacterial overgrowth
Occupational Diseases,Disease,"skin problems, respiratory symptoms, hearing loss, chemical toxicity, musculoskeletal pain, neurological symptoms",Low,workplace exposures; chemical agents; physical hazards; ergonomic factors
Eating Disorders,Disorder,"electrolyte imbalances, body image distortion, cardiac problems, abnormal eating patterns, gastrointestinal issues, weight abnormalities",Medium,psychological factors; societal pressures; genetic predisposition; neurochemical imbalances
Otitis Media,Disease,"irritability, hearing difficulty, fever, ear pain, balance problems, fluid drainage",Medium,bacterial infection; viral infection; eustachian tube dysfunction; allergies
Hematopoietic Disorders,Disease,"thrombosis, bleeding disorders, cytopenias, anemia, fatigue",Medium,bone marrow dysfunction; genetic mutations; acquired disorders; nutritional deficiencies
Environmental Disorders,Disease,"respiratory problems, neurological effects, allergic reactions, toxic exposures, climate-related symptoms",Medium,pollution; chemical exposures; radiation; extreme weather; natural disasters
Sleep-Related Bruxism,Disorder,"jaw clenching, jaw pain, headache, tooth grinding, during sleep",Low,stress; anxiety; sleep disorders; medications; genetic factors
Kidney Stones,Disease,"blood in urine, frequent urination, fever, nausea, severe pain, burning sensation",Medium,dehydration; high calcium; high oxalate; infection; genetic factors
Catheter-Associated Urinary Tract Infection,Disease,"urgency, fever, suprapubic pain, hematuria, frequency",Medium,urinary catheter insertion; bacterial colonization; prolonged catheterization; poor hygiene
Retinitis Pigmentosa,Disease,"photophobia, night blindness, arteriolar narrowing, tunnel vision",High,genetic mutations; retinal pigment epithelium degeneration; various inheritance patterns
Advanced Sleep Phase Disorder,Disorder,"early wake time, early sleep onset, morning insomnia, difficulty staying awake in evening",Low,genetic factors; circadian rhythm abnormalities; aging
Glaucoma,Disease,"tunnel vision, halos around lights, red eyes, eye pain, gradual vision loss, nausea",High,increased eye pressure; aging; family history; eye injury; medical conditions
Pancreatic Disorders,Disease,"steatorrhea, diarrhea, abdominal pain, vomiting, diabetes, weight loss, nausea",Medium,chronic pancreatitis; cystic fibrosis; alcohol abuse; autoimmune disorders
