Disease Name,Category,Symptoms,Severity,Causes
Chlamydia,Bacteria,DIC; abnormal discharge; sore throat; painful urination; rectal pain; pelvic pain; migraine; testicular pain,Medium,Chlamydia trachomatis; Sexual transmission; Mother-to-child during birth
Restless Legs Syndrome,Disorder,uncomfortable sensations; thrombocytopenia; insomnia; urge to move legs; daytime fatigue; headache; worse at night; difficulty concentrating; sleep disturbances,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Anthrax,Bacteria,fatigue; vomiting; chest pain; skin ulcers; gigantorhynchus; shortness of breath; fever; nausea,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Obsessive-Compulsive Disorder,Disorder,cirrhosis; interference with daily life; anxiety; obsessions; distress; time-consuming rituals; compulsions; prosthenorchis; itching,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Chickenpox,Virus,rhabdomyolysis; fever; itching; fatigue; rash; loss of appetite; abdominal pain; blisters,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
Anthrax,Bacteria,chest pain; nausea; vomiting; metagonimiasis; fever; skin ulcers; fatigue; shortness of breath,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Schizophrenia,Disorder,diabetes; SIADH; negative symptoms; delusions; disorganized thinking; hallucinations,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Chronic Fatigue Syndrome,Disorder,sore throat; anemia; pain; post-exertional malaise; sleep problems; spinal cord injury; severe fatigue,Medium,Viral infections; Immune system issues; Hormonal imbalances; Stress; Genetic factors
Asthma,Disease,gynecomastia; chest tightness; fatigue; wheezing; coughing; shortness of breath; difficulty sleeping; thysanosoma,Medium,Genetic factors; Allergens; Air pollution; Respiratory infections; Exercise; Stress
Obsessive-Compulsive Disorder,Disorder,time-consuming rituals; interference with daily life; distress; enterobiasis; obsessions; compulsions; anxiety,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Rheumatoid Arthritis,Disease,fever; joint pain; moniliformis; joint stiffness; weight loss; joint swelling; cholecystitis,Medium,Autoimmune disorder; Genetic factors; Environmental triggers; Hormonal factors; Infections
Dyslexia,Disorder,hair loss; poor comprehension; letter reversal; reading difficulties; slow reading speed; phonological awareness issues,Low,Genetic factors; Brain structure differences; Prenatal exposure; Early childhood experiences
Coronary Artery Disease,Disease,chest pain; nausea; shortness of breath; dizziness; sweating; compartment syndrome; shock; fatigue; myopathy,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
Chlamydia,Bacteria,abnormal discharge; sore throat; rectal pain; painful urination; joint swelling; pelvic pain; testicular pain; edema,Medium,Chlamydia trachomatis; Sexual transmission; Mother-to-child during birth
Chickenpox,Virus,fever; loss of appetite; blisters; venous insufficiency; fatigue; rash,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
Obsessive-Compulsive Disorder,Disorder,obsessions; anxiety; parkinsonism; distress; time-consuming rituals; interference with daily life; compulsions,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Chronic Obstructive Pulmonary Disease,Disease, paragonimiasis; chronic cough; chest tightness; shortness of breath; frequent respiratory infections; wheezing; fatigue; dislocations,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Salmonella,Bacteria,diarrhea; nausea; headache; abdominal cramps; light sensitivity; vomiting,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Common Cold,Virus,cough; strains; sneezing; mild fever; fatigue; sore throat; taeniasis,Low,Rhinovirus infection; Multiple viral strains; Airborne or contact transmission
Chickenpox,Virus,pleurisy; fatigue; blisters; itching; fever; loss of appetite,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
HIV/AIDS,Virus,fatigue; night sweats; oncicola; persistent cough; fever; venous insufficiency; swollen lymph nodes,High,HIV virus infection; Unprotected sex; Shared needles; Mother-to-child transmission
Asthma,Disease,fatigue; coughing; pneumothorax; pneumonia; shortness of breath; difficulty sleeping; chest tightness,Medium,Genetic factors; Allergens; Air pollution; Respiratory infections; Exercise; Stress
Salmonella,Bacteria,vomiting; nausea; diarrhea; rheumatic fever; abdominal cramps; headache,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Restless Legs Syndrome,Disorder,worse at night; difficulty concentrating; sleep disturbances; hypertrophic cardiomyopathy; daytime fatigue; uncomfortable sensations; plantar fasciitis,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Post-Traumatic Stress Disorder,Disorder,avoidance; easy bruising; nightmares; flashbacks; lymphedema; emotional numbness; hypervigilance,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Gonorrhea,Bacteria,pelvic pain; acromegaly; testicular pain; hearing loss; sore throat; abnormal discharge; rectal pain; elephantiasis,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Attention Deficit Hyperactivity Disorder,Disorder,hyperactivity; impulsivity; difficulty following instructions; skrjabinia; inattention; varicocele,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Dengue,Virus,hemorrhoids; muscle pain; acromegaly; severe headache; bleeding; rash; joint pain; loss of appetite,High,Dengue virus; Mosquito transmission; Aedes mosquito bite
Syphilis,Bacteria,chancre sore; joint pain; hair loss; malaria; fatigue; fever; neurological symptoms,High,Treponema pallidum; Sexual transmission; Congenital transmission
Hypertension,Disease,abscess; myopathy; shortness of breath; blurred vision; chest pain; headache; nosebleeds; seizures,Medium,Genetic factors; Obesity; High salt intake; Stress; Lack of exercise; Smoking
Botulism,Bacteria,difficulty swallowing; cold sweats; muscle weakness; drooping eyelids; blurred vision; slurred speech; hemothorax,High,Clostridium botulinum toxin; Contaminated food; Wound infection; Infant intestinal infection
Pertussis,Bacteria,gangrene; severe cough; whooping sound; thysanosoma; fatigue; fever; runny nose; vomiting after cough,High,Bordetella pertussis; Airborne transmission; Close contact
Pneumonia,Bacteria,nausea; fever; fatigue; dilated cardiomyopathy; chest pain; cough; encephalitis; chills; eczema,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Gonorrhea,Bacteria,insomnia; pelvic pain; varicocele; rectal pain; abnormal discharge; sore throat; painful urination; hyperglycemia,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Alzheimer's Disease,Disease,difficulty with problem-solving; difficulty with familiar tasks; confusion; memory loss; disorientation; coma; mood changes,High,Genetic factors; Age; Family history; Cardiovascular disease; Head trauma; Lifestyle factors
Osteoarthritis,Disease,joint swelling; joint pain; crepitus; reduced range of motion; thysanosoma; joint stiffness,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Salmonella,Bacteria,headache; diarrhea; nausea; stress fractures; hemothorax; abdominal cramps; back pain; vomiting; fever,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Osteoarthritis,Disease,joint pain; muscle weakness; joint stiffness; joint swelling; reduced range of motion; crepitus; asthma,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Lyme Disease,Bacteria,swollen lymph nodes; bulls-eye rash; joint swelling; muscle pain; headache; fatigue; fever; joint pain; heart block,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Alzheimer's Disease,Disease,confusion; mood changes; shock; alveococcus; strongyloidiasis; disorientation; difficulty with familiar tasks,High,Genetic factors; Age; Family history; Cardiovascular disease; Head trauma; Lifestyle factors
Tourette Syndrome,Disorder,involuntary movements; growth hormone deficiency; motor tics; obsessive behaviors; involuntary sounds; swelling in legs,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Hypertension,Disease,nosebleeds; shortness of breath; deep vein thrombosis; schistosomiasis; dizziness; blurred vision; headache,Medium,Genetic factors; Obesity; High salt intake; Stress; Lack of exercise; Smoking
Leprosy,Bacteria,eye problems; enlarged nerves; numbness; muscle weakness; chronic nasal congestion; skin lesions; gallstones,Medium,Mycobacterium leprae; Prolonged close contact; Armadillo transmission
Depression,Disease,difficulty concentrating; appetite changes; myasthenia gravis; sleep changes; fatigue; frequent urination; loss of interest; persistent sadness,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Chronic Fatigue Syndrome,Disorder,frequent urination; thysanosoma; severe fatigue; cognitive issues; sore throat; sleep problems,Medium,Viral infections; Immune system issues; Hormonal imbalances; Stress; Genetic factors
Schizophrenia,Disorder,cognitive difficulties; delusions; hallucinations; negative symptoms; emotional flatness; disorganized thinking; dry mouth,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Depression,Disease,appetite changes; difficulty concentrating; fatigue; arrhythmias; hirsutism; persistent sadness; sleep changes; loss of interest,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Leprosy,Bacteria,enlarged nerves; thyroid problems; muscle weakness; skin lesions; dry mouth; chronic nasal congestion,Medium,Mycobacterium leprae; Prolonged close contact; Armadillo transmission
Tuberculosis,Bacteria,night sweats; persistent cough; weight loss; chest pain; coughing blood; fatigue; emphysema,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
Sleep Apnea,Disorder,dry mouth; hypertrophic cardiomyopathy; delirium; difficulty concentrating; daytime sleepiness; dementia; morning headaches,Medium,Obesity; Neck anatomy; Age; Family history; Smoking; Alcohol use
Pertussis,Bacteria,runny nose; edema; whooping sound; vomiting after cough; fatigue; fever; severe cough,High,Bordetella pertussis; Airborne transmission; Close contact
E. coli Infection,Bacteria,dizziness; severe diarrhea; fever; vomiting; spinal cord injury; abdominal pain; bloody diarrhea; fatigue,High,E. coli bacteria; Contaminated food/water; Undercooked meat; Poor sanitation
Coronary Artery Disease,Disease,shortness of breath; fatigue; hemothorax; nausea; chest pain; sweating; dizziness,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
Norovirus,Virus,stomach cramps; hematemesis; nausea; fever; erectile dysfunction; headache; bertiella; vomiting; diarrhea,Medium,Norovirus infection; Contaminated food/water; Person-to-person contact
Tetanus,Bacteria,lockjaw; muscle spasms; ACL tear; fever; malaria; difficulty swallowing; sweating; muscle stiffness; seizures,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Attention Deficit Hyperactivity Disorder,Disorder,hyperactivity; forgetfulness; difficulty following instructions; swelling in legs; impulsivity; disorganization; inattention,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Tuberculosis,Bacteria,chest pain; toxoplasmosis; persistent cough; fatigue; coughing blood; respiratory acidosis; night sweats; rhabdomyolysis; fever; weight loss,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
Schizophrenia,Disorder,varicose veins; emotional flatness; cognitive difficulties; delusions; disorganized thinking; acute renal failure; negative symptoms; hallucinations; epilepsy,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Hepatitis B,Virus,fatigue; loss of appetite; chest pain; night sweats; dark urine; nausea; jaundice; abdominal pain; swelling in legs,High,Hepatitis B virus; Blood contact; Sexual transmission; Mother-to-child
Zika Virus,Virus,joint pain; muscle pain; headache; weakness; rash; fever; conjunctivitis,Medium,Zika virus; Mosquito transmission; Sexual transmission
Anthrax,Bacteria,skin ulcers; fatigue; fever; vomiting; bruising easily; chest pain; shortness of breath; hemorrhoids; nausea,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Common Cold,Virus,mild fever; fatigue; runny nose; sore throat; sneezing; cough; thrombocytopenia; brain abscess,Low,Rhinovirus infection; Multiple viral strains; Airborne or contact transmission
Influenza,Virus,body aches; cough; sore throat; fever; encephalitis; fatigue,Medium,Influenza virus infection; Seasonal transmission; Airborne droplets
Schizophrenia,Disorder,brain abscess; cognitive difficulties; delusions; hallucinations; negative symptoms; emotional flatness; disorganized thinking; neck pain,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Restless Legs Syndrome,Disorder,uncomfortable sensations; daytime fatigue; difficulty concentrating; urge to move legs; worse at night; bruising easily; stroke; sleep disturbances,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Mumps,Virus,loss of appetite; fever; headache; swollen salivary glands; fatigue; muscle pain; acute renal failure,Medium,Mumps virus; Airborne transmission; Saliva contact
Rubella,Virus,joint pain; skrjabinia; swollen lymph nodes; runny nose; fever; chest pain; headache,Medium,Rubella virus; Airborne transmission; Congenital transmission
Parkinson's Disease,Disease,hymenolepiasis; tremor; difficulty walking; stiffness; bradykinesia; tooth pain; postural instability,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Mumps,Virus,fatigue; thrombocytosis; swollen salivary glands; loss of appetite; muscle pain; headache; pneumothorax; fever,Medium,Mumps virus; Airborne transmission; Saliva contact
Anthrax,Bacteria,fever; pulmonary embolism; nausea; vomiting; insomnia; shortness of breath; joint swelling; fatigue; skin ulcers,High,Bacillus anthracis; Contact with infected animals; Biological weapon
Hepatitis C,Virus,fatigue; thrombocytosis; abdominal pain; jaundice; nausea; nosebleeds; loss of appetite; joint pain; encephalitis,Medium,Hepatitis C virus; Blood contact; Shared needles; Healthcare exposure
Syphilis,Bacteria,joint pain; chancre sore; rash; neurological symptoms; hair loss; sound sensitivity; fever; fatigue; amenorrhea,High,Treponema pallidum; Sexual transmission; Congenital transmission
