Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Mycobacterium leprae,Bacteria,weakness; back pain; night sweats,No,,Limited global incidence
Pseudomonas aeruginosa,Bacteria,fatigue; weight loss; stiffness; malaise; weakness; joint pain,No,,Opportunistic pathogen in immunocompromised patients
Migraine,Disorder,fever; chills; malaise; weight loss; fatigue; night sweats,No,,Neurological headache disorder
Epstein-Barr Virus,Virus,numbness; seizures; weight loss; headache; memory loss,No,,"Causes lifelong infection, vaccine development challenging"
Pneumonia,Disease,sore throat; chest pain; cough; wheezing,Yes,Pneumococcal Vaccine,
Avian Flu,Disease,runny nose; shortness of breath; sore throat; fever; fatigue,No,,Rapid mutation and limited human transmission
Thyroid Disorders,Disorder,chills; weight loss; night sweats,No,,Endocrine disorders from various causes
Streptococcus pneumoniae,Bacteria,shortness of breath; chest pain; fatigue; sore throat; cough; fever,Yes,Pneumococcal Vaccine,
Meningitis,Disease,chills; malaise; fatigue; night sweats; fever; weight loss,Yes,Meningococcal Vaccine,
Post-Traumatic Stress Disorder,Disorder,weight loss; fever; fatigue,No,,Vaccine development not prioritized
Neisseria meningitidis,Bacteria,back pain; fever; muscle pain,Yes,Meningococcal Vaccine,
Chickenpox,Disease,malaise; fever; night sweats; weight loss,Yes,Varicella Vaccine,
Salmonella,Bacteria,swelling; fatigue; chills; weakness; malaise,Limited,Typhoid Vaccine,Limited to specific serotypes
Plague,Disease,fatigue; fever; chills; malaise,No,,Vaccine development not prioritized
Japanese Encephalitis Virus,Virus,dizziness; memory loss; numbness,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,redness; rash; dry skin; blisters; itching; hair loss,No,,Vaccine development not prioritized
Influenza Viruses,Virus,fatigue; dizziness; night sweats,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,chills; numbness; fever; fatigue,No,,Common virus with complex immune interactions
Arthritis,Disorder,back pain; swelling; joint pain; muscle pain; stiffness; weakness,No,,Autoimmune and degenerative joint condition
Epstein-Barr Virus,Virus,fever; tingling; chills; memory loss; confusion,No,,"Causes lifelong infection, vaccine development challenging"
Pseudomonas aeruginosa,Bacteria,chills; stiffness; back pain; fatigue; night sweats; weakness,No,,Opportunistic pathogen in immunocompromised patients
Epstein-Barr Virus,Virus,chills; dizziness; fatigue; fatigue,No,,"Causes lifelong infection, vaccine development challenging"
Treponema pallidum,Bacteria,back pain; joint pain; muscle pain; night sweats; stiffness; fever,No,,Complex immune evasion mechanisms
Marburg,Disease,fever; malaise; weight loss; night sweats; chills; fatigue,No,,Vaccine development not prioritized
Shigella,Bacteria,chills; malaise; weight loss,No,,Multiple serotypes and limited research
Japanese Encephalitis Virus,Virus,dizziness; fatigue; fatigue; numbness; night sweats,No,,Vaccine development not prioritized
Encephalitis,Disease,night sweats; weight loss; chills; fever,No,,Vaccine development not prioritized
Pseudomonas aeruginosa,Bacteria,muscle pain; malaise; chills; fatigue; swelling,No,,Opportunistic pathogen in immunocompromised patients
Polio,Disease,chills; fever; night sweats; weight loss,Yes,Polio Vaccine,
Osteoporosis,Disorder,night sweats; chills; weight loss; fatigue; malaise; fever,No,,Bone density disorder from aging and lifestyle
Human Immunodeficiency Virus,Virus,memory loss; confusion; fatigue,No,,Vaccine development not prioritized
Mumps,Disease,fever; malaise; chills; weight loss; fatigue,Yes,MMR Vaccine,
COVID-19,Disease,night sweats; chills; fever; malaise; weight loss; fatigue,Yes,COVID-19 Vaccine,
COVID-19,Disease,weight loss; chills; night sweats; fatigue,Yes,COVID-19 Vaccine,
